invoice_id,customer,expected_status
INV-00001,"Rodriguez, Figueroa and Sanchez",MATCHED
INV-00002,Doyle Ltd,MATCHED
INV-00003,"Mcclain, Miller and Henderson",AMOUNT_MISMATCH
INV-00004,Davis and Sons,AMOUNT_MISMATCH
INV-00005,"Guzman, Hoffman and Baldwin",MATCHED
INV-00006,"Gardner, Robinson and Lawrence",TIMING_DIFFERENCE
INV-00007,Blake and Sons,MATCHED
INV-00008,"Henderson, Ramirez and Lewis",MATCHED
INV-00009,Garcia-James,MATCHED
INV-00010,Abbott-Munoz,MATCHED
INV-00011,Blair PLC,TIMING_DIFFERENCE
INV-00012,Dudley Group,MATCHED
INV-00013,Arnold Ltd,TIMING_DIFFERENCE
INV-00014,"Mcclure, Ward and Lee",AMOUNT_MISMATCH
INV-00015,Williams and Sons,MATCHED
INV-00016,Galloway-Wyatt,AMOUNT_MISMATCH
INV-00017,James Group,MATCHED
INV-00018,"Flowers, Martin and Kelly",AMOUNT_MISMATCH
INV-00019,"Adams, Zuniga and Wong",MATCHED
INV-00020,"Reid, Ferguson and Sanchez",SPLIT_PAYMENT
INV-00021,Gray-Mayo,MISSING_PAYMENT
INV-00022,"Watts, Robinson and Nguyen",SPLIT_PAYMENT
INV-00023,Perez Inc,DUPLICATE
INV-00024,Morales-Jones,AMOUNT_MISMATCH
INV-00025,"Walter, Edwards and Rios",SPLIT_PAYMENT
INV-00026,Wilkerson-Day,MATCHED
INV-00027,Baker and Sons,MATCHED
INV-00028,"Hoffman, Baker and Richards",MATCHED
INV-00029,"Ross, Robinson and Bright",TIMING_DIFFERENCE
INV-00030,"Snyder, Campos and Callahan",MATCHED
INV-00031,Burton Ltd,MATCHED
INV-00032,Carlson-Cruz,SPLIT_PAYMENT
INV-00033,"Ferrell, Rice and Maddox",DUPLICATE
INV-00034,Frazier Inc,TIMING_DIFFERENCE
INV-00035,"Dyer, Potter and Mack",MATCHED
INV-00036,Rodriguez-Graham,MATCHED
INV-00037,Smith-Bowen,MATCHED
INV-00038,"Baker, Mason and White",MATCHED
INV-00039,Harrell LLC,MATCHED
INV-00040,"Romero, Gonzalez and Brooks",MATCHED
INV-00041,Ryan PLC,MATCHED
INV-00042,George Group,SPLIT_PAYMENT
INV-00043,Rodriguez LLC,MISSING_PAYMENT
INV-00044,Allen-Allen,AMOUNT_MISMATCH
INV-00045,"Arroyo, Miller and Tucker",MATCHED
INV-00046,Spence PLC,MATCHED
INV-00047,Anderson Group,MISSING_PAYMENT
INV-00048,"Martin, Rose and Obrien",MATCHED
INV-00049,Hickman Ltd,MATCHED
INV-00050,"Harris, Collins and Carney",MATCHED
INV-00051,"Brooks, Lam and Hayes",MATCHED
INV-00052,Walker LLC,MATCHED
INV-00053,Chapman and Sons,MATCHED
INV-00054,"Robinson, Jones and Welch",SPLIT_PAYMENT
INV-00055,Jones Inc,TIMING_DIFFERENCE
INV-00056,Jones-Young,MATCHED
INV-00057,"Washington, Ryan and Cummings",MATCHED
INV-00058,"Johnston, Sanchez and Kennedy",TIMING_DIFFERENCE
INV-00059,Lee-Davis,MATCHED
INV-00060,Gomez-Jenkins,MATCHED
INV-00061,"Brown, Valdez and Lucas",MATCHED
INV-00062,Powell LLC,MATCHED
INV-00063,Wright and Sons,DUPLICATE
INV-00064,"West, Henderson and Ramirez",SPLIT_PAYMENT
INV-00065,Baxter Inc,MATCHED
INV-00066,Morton-Chase,DUPLICATE
INV-00067,Williams PLC,MATCHED
INV-00068,Novak and Sons,SPLIT_PAYMENT
INV-00069,Russell Group,TIMING_DIFFERENCE
INV-00070,Hancock Inc,TIMING_DIFFERENCE
INV-00071,Gray Group,AMOUNT_MISMATCH
INV-00072,House-Glover,MISSING_PAYMENT
INV-00073,Henderson-Bernard,MATCHED
INV-00074,"Stanley, Tucker and Lee",MISSING_PAYMENT
INV-00075,Novak PLC,MATCHED
INV-00076,"Daniels, Adkins and Brown",MATCHED
INV-00077,"Woods, Calhoun and Schmidt",AMOUNT_MISMATCH
INV-00078,Yu Inc,MATCHED
INV-00079,Jones Inc,MATCHED
INV-00080,"Hensley, Powell and David",MATCHED
INV-00081,"Sanchez, Wheeler and Harvey",SPLIT_PAYMENT
INV-00082,Sandoval-Cunningham,TIMING_DIFFERENCE
INV-00083,Donovan-Harris,MATCHED
INV-00084,"Edwards, Baker and Anderson",AMOUNT_MISMATCH
INV-00085,"Evans, Stewart and Walton",MATCHED
INV-00086,Smith PLC,MATCHED
INV-00087,"Ferrell, Jones and Lewis",MATCHED
INV-00088,Anderson-Bailey,MATCHED
INV-00089,Suarez LLC,MATCHED
INV-00090,Moore-Bass,MATCHED
INV-00091,"Turner, Riggs and Roman",MATCHED
INV-00092,"Smith, Montoya and Evans",MATCHED
INV-00093,"Garcia, Humphrey and Baker",SPLIT_PAYMENT
INV-00094,Newton and Sons,MISSING_PAYMENT
INV-00095,Campbell-Clark,MATCHED
INV-00096,Harris-Walters,DUPLICATE
INV-00097,Wagner-King,TIMING_DIFFERENCE
INV-00098,Davis Group,SPLIT_PAYMENT
INV-00099,Williams-Cook,DUPLICATE
INV-00100,Walsh LLC,DUPLICATE
INV-00101,Figueroa PLC,MATCHED
INV-00102,"Patterson, Smith and Jones",TIMING_DIFFERENCE
INV-00103,"Mckee, Gardner and Davenport",MISSING_PAYMENT
INV-00104,"Tran, Jordan and Williams",MATCHED
INV-00105,Nolan-Flynn,MATCHED
INV-00106,Nolan and Sons,SPLIT_PAYMENT
INV-00107,"Wright, Garcia and Deleon",SPLIT_PAYMENT
INV-00108,Dickson-Brady,MATCHED
INV-00109,Hancock and Sons,SPLIT_PAYMENT
INV-00110,Johnson-Doyle,MATCHED
INV-00111,Patton-Jenkins,SPLIT_PAYMENT
INV-00112,"Shields, Cochran and Adams",SPLIT_PAYMENT
INV-00113,"Rodriguez, Brennan and Garrison",MATCHED
INV-00114,Gonzalez Group,MISSING_PAYMENT
INV-00115,Torres-Pope,SPLIT_PAYMENT
INV-00116,Walker Ltd,MATCHED
INV-00117,Ross LLC,AMOUNT_MISMATCH
INV-00118,Rasmussen LLC,MISSING_PAYMENT
INV-00119,May-Ross,AMOUNT_MISMATCH
INV-00120,"Rivera, Johnson and Wiley",MATCHED
INV-00121,White-Estes,MATCHED
INV-00122,Johnson-Carlson,MATCHED
INV-00123,Chandler-Edwards,MISSING_PAYMENT
INV-00124,"Joyce, Wilson and Lam",MISSING_PAYMENT
INV-00125,Scott Ltd,MATCHED
INV-00126,Smith-Frost,MATCHED
INV-00127,"Mcdaniel, Bentley and Mclaughlin",MATCHED
INV-00128,Diaz Inc,MATCHED
INV-00129,"Mccall, Hanson and Alvarado",MISSING_PAYMENT
INV-00130,Cortez LLC,MATCHED
INV-00131,"Parker, Ortiz and Powell",MATCHED
INV-00132,Spencer-Lee,MATCHED
INV-00133,"Bentley, Byrd and Orr",MATCHED
INV-00134,"Carroll, Sullivan and Bass",TIMING_DIFFERENCE
INV-00135,Mitchell-Jordan,TIMING_DIFFERENCE
INV-00136,"Lawson, Morris and Ramos",TIMING_DIFFERENCE
INV-00137,"Lewis, Kennedy and Santana",MATCHED
INV-00138,"Jackson, Miller and Robertson",DUPLICATE
INV-00139,"Harvey, Davis and Crane",MATCHED
INV-00140,Chambers and Sons,MATCHED
INV-00141,Hernandez Inc,MATCHED
INV-00142,Riggs PLC,MATCHED
INV-00143,Gibson Ltd,MATCHED
INV-00144,"Lee, Horton and Snyder",MATCHED
INV-00145,Hernandez Ltd,TIMING_DIFFERENCE
INV-00146,Stafford Inc,SPLIT_PAYMENT
INV-00147,Robinson-Brock,TIMING_DIFFERENCE
INV-00148,"Holmes, Williams and Wright",MATCHED
INV-00149,Bryant Group,MATCHED
INV-00150,"Schmidt, Hansen and Stewart",MATCHED
INV-00151,Salazar-Ball,TIMING_DIFFERENCE
INV-00152,"Simmons, Meadows and Griffin",SPLIT_PAYMENT
INV-00153,Manning Group,AMOUNT_MISMATCH
INV-00154,Green-Wright,MATCHED
INV-00155,"Ramirez, Strickland and Washington",MATCHED
INV-00156,Hill Inc,SPLIT_PAYMENT
INV-00157,"Mitchell, Nelson and Flores",MATCHED
INV-00158,"Miller, Hernandez and Reyes",MATCHED
INV-00159,Mccarthy Inc,MATCHED
INV-00160,Russell-Daniels,MATCHED
INV-00161,Brown-Wall,MATCHED
INV-00162,Stein-Silva,MATCHED
INV-00163,"Smith, Gilmore and Johnston",AMOUNT_MISMATCH
INV-00164,Smith-Bell,AMOUNT_MISMATCH
INV-00165,Castaneda-Ashley,SPLIT_PAYMENT
INV-00166,Medina-Navarro,MATCHED
INV-00167,"Hurst, Freeman and Nelson",MATCHED
INV-00168,Johnson-Rogers,MATCHED
INV-00169,"Yates, Ramsey and Pittman",MATCHED
INV-00170,Hooper PLC,MATCHED
INV-00171,Meadows PLC,MATCHED
INV-00172,"Alvarado, Miller and Patterson",TIMING_DIFFERENCE
INV-00173,White-Green,MATCHED
INV-00174,Lewis-Murphy,MATCHED
INV-00175,Ramirez-Bean,MATCHED
INV-00176,King-Miller,TIMING_DIFFERENCE
INV-00177,Curry Inc,MISSING_PAYMENT
INV-00178,Walker-Jones,MATCHED
INV-00179,"Williams, Johnson and Wright",MATCHED
INV-00180,Howell and Sons,AMOUNT_MISMATCH
INV-00181,Wells Inc,MATCHED
INV-00182,"Gould, Marshall and Scott",DUPLICATE
INV-00183,Jackson-Lawson,MATCHED
INV-00184,"Higgins, Strickland and Martin",MATCHED
INV-00185,Rodriguez-Johnson,MATCHED
INV-00186,Johnston-Odonnell,MATCHED
INV-00187,Sanders-Espinoza,MATCHED
INV-00188,Vargas Ltd,MATCHED
INV-00189,Garcia LLC,MATCHED
INV-00190,"Burke, Martinez and Riggs",MISSING_PAYMENT
INV-00191,Reed Group,DUPLICATE
INV-00192,"Wood, Hunter and Peterson",SPLIT_PAYMENT
INV-00193,Short-Garcia,MATCHED
INV-00194,Reid-Poole,MATCHED
INV-00195,"Hernandez, Thompson and Boyd",MATCHED
INV-00196,"Nelson, Morton and Medina",SPLIT_PAYMENT
INV-00197,Marshall-Petersen,MATCHED
INV-00198,"Adams, Christian and Rivas",MATCHED
INV-00199,Ramirez Group,MATCHED
INV-00200,Christensen PLC,MATCHED
INV-00201,"Barnett, Rogers and Snyder",MATCHED
INV-00202,White-Lewis,MATCHED
INV-00203,Peterson-Beard,DUPLICATE
INV-00204,"Beard, Peters and Black",MATCHED
INV-00205,Miller Ltd,AMOUNT_MISMATCH
INV-00206,Freeman-Chang,SPLIT_PAYMENT
INV-00207,"Alvarez, Joseph and West",MATCHED
INV-00208,Davis and Sons,MATCHED
INV-00209,Holt-Torres,MATCHED
INV-00210,"Wood, Tran and Cooper",MISSING_PAYMENT
INV-00211,"Pierce, Bell and Chavez",MATCHED
INV-00212,King-Martinez,MISSING_PAYMENT
INV-00213,Stewart Ltd,MATCHED
INV-00214,"Tapia, Vaughn and Lee",SPLIT_PAYMENT
INV-00215,"Washington, Hardy and Bray",DUPLICATE
INV-00216,"Carlson, Hooper and Wall",MATCHED
INV-00217,Perez-White,MATCHED
INV-00218,Erickson and Sons,AMOUNT_MISMATCH
INV-00219,Williams-Brown,MATCHED
INV-00220,Terry-Martinez,SPLIT_PAYMENT
INV-00221,Garcia-Smith,MATCHED
INV-00222,Harrison-Alexander,MISSING_PAYMENT
INV-00223,Sheppard LLC,SPLIT_PAYMENT
INV-00224,Wilson-Jones,MATCHED
INV-00225,Jones-Soto,MATCHED
INV-00226,Hernandez PLC,TIMING_DIFFERENCE
INV-00227,Miller-Wright,MATCHED
INV-00228,"Duran, Obrien and Gibbs",MATCHED
INV-00229,Rowe Group,MATCHED
INV-00230,Kerr-Evans,TIMING_DIFFERENCE
